px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	6.90442e-310	L
0.714265	0.588392	7.07821	0	1.16528e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.2475	R
1.16103	0.493468	7.08063	-0.068797	-0.00827106	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.184778	L
1.27661	0.513671	7.07577	0.191829	0.0386619	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.80999	R
1.61366	0.594637	7.09518	0.245101	0.0529452	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.20094	L
1.82156	0.569777	6.3295	0.0936756	-0.0567818	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	4.22886	R
2.15293	0.61606	6.34418	0.108398	-0.0289957	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.160604	L
2.36886	0.643772	5.58172	0.0910267	-0.204275	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	7.59944	R
2.64724	0.666948	5.58462	0.0796472	-0.209598	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.00385578	L
2.91433	0.657016	5.50005	0.0227084	-0.40649	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.45116	R
3.14917	0.654678	5.45696	0.00711822	-0.382264	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.07778	L
3.43713	0.547102	5.49506	-0.155772	-0.866137	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.52094	R
3.74219	0.431992	5.57122	-0.286992	-1.13431	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.2692	L
4.02148	0.517876	5.53687	-0.141883	-0.567382	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	4.04614	R
4.2954	0.509183	5.51791	-0.136564	-0.48425	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.330308	L
4.5546	0.546828	5.41823	-0.0928638	-0.332298	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.85849	R
4.73944	0.657583	5.23203	0.0149425	-0.065464	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	12.2066	L
4.99114	0.656191	5.15533	0.00592134	-0.0764846	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.56475	R
5.29229	0.650052	5.21841	-0.00586129	-0.0926448	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.73142	L
5.55118	0.656349	5.26324	-0.00207343	-0.0770146	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.79982	R
5.84591	0.670588	5.30506	0.00338291	-0.0624115	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.72248	L
6.08833	0.596522	5.22038	-0.0507637	-0.143623	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	3.50317	R
