px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	6.92448e-310	L
0.312243	0.58034	1.73472e-18	0	6.07153e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	6.92448e-310	R
1.15507	0.483257	0.0837989	0	7.80626e-18	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.728615	L
1.15789	0.483257	0.0837989	0	7.80626e-18	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	6.92448e-310	R
1.45012	0.553214	0.997051	0.00938383	0.001792	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	4.81526	L
1.4834	0.553528	0.997051	0.00947343	0.001792	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	6.92448e-310	R
1.91129	0.590719	2.52823	0.103179	0.02731	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	8.54439	L
1.9923	0.599174	2.52823	0.104545	0.02731	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	6.92448e-310	R
2.44301	0.64188	3.5298	0.138006	0.0364314	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	5.63232	L
2.56433	0.659083	3.5298	0.139828	0.0364314	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	6.92448e-310	R
2.88798	0.634706	3.94424	-0.011131	-0.0254154	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.80599	L
3.06379	0.632893	3.94424	-0.0124018	-0.0254154	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	6.92448e-310	R
3.58262	0.375207	4.72577	-0.452261	-0.279639	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	9.95643	L
3.78617	0.274601	4.72577	-0.466243	-0.279639	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	6.92448e-310	R
4.17092	0.482431	4.9878	-0.0653678	0.258321	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	3.72166	L
4.41412	0.46794	4.9878	-0.0524517	0.258321	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	6.92448e-310	R
4.53785	0.746375	4.5749	0.249263	0.803445	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	5.52574	L
4.75403	0.805908	4.5749	0.289435	0.803445	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	6.92448e-310	R
5.20161	0.718376	5.11488	0.129806	0.278573	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	8.49954	L
5.45	0.752585	5.11488	0.143735	0.278573	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	6.92448e-310	R
5.83058	0.724957	5.39215	0.071087	0.0606044	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	2.83051	L
6.09501	0.744314	5.39215	0.0741172	0.0606044	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	6.92448e-310	R
6.3467	0.886049	5.39802	0.194197	0.305402	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.517591	L
6.60776	0.939593	5.39802	0.209468	0.305402	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	6.92448e-310	R
6.84739	0.821871	5.30237	0.0770718	0.0255579	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	1.60222	L
7.10921	0.842374	5.30237	0.0783497	0.0255579	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	6.92448e-310	R
7.28606	0.92611	5.16341	0.135303	0.123108	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	1.67041	L
7.53991	0.961552	5.16341	0.141459	0.123108	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	6.92448e-310	R
7.80454	0.84023	5.14133	0.0329311	-0.0594973	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	1.50418	L
8.06004	0.84833	5.14133	0.0299562	-0.0594973	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	6.92448e-310	R
8.29363	0.848409	5.10189	0.0231885	-0.0653023	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.142198	L
8.54753	0.853926	5.10189	0.0199233	-0.0653023	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.92448e-310	R
8.78236	0.955849	5.08248	0.0779704	0.0181198	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.871537	L
9.03477	0.975712	5.08248	0.0788764	0.0181198	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.92448e-310	R
9.27691	1.02194	5.06856	0.0954209	0.0380316	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0937676	L
9.52839	1.04627	5.06856	0.0973224	0.0380316	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	6.92448e-310	R
9.85807	1.24219	5.22825	0.190554	0.148707	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	5.66836	L
10.1139	1.29254	5.22825	0.19799	0.148707	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	6.92448e-310	R
