px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	6.91291e-310	L
0.714265	0.588392	7.07821	0	1.16528e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.2475	R
0.953244	0.588392	7.07821	0	7.80626e-18	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	6.91291e-310	L
0.950183	0.406486	7.09565	0.119362	0.0242627	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.954886	R
1.17047	0.431896	7.09565	0.120575	0.0242627	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	6.91291e-310	L
1.3932	0.407489	7.05813	0.0274575	-0.00117287	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.0813376	R
1.70083	0.414205	7.05813	0.0273988	-0.00117287	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	6.91291e-310	L
1.91343	0.564241	6.6894	0.0667922	-0.0615435	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	1.8266	R
2.23255	0.583351	6.6894	0.063715	-0.0615435	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	6.91291e-310	L
2.61435	0.577292	6.07738	-0.0411993	-0.36098	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	4.84182	R
2.91359	0.561528	6.07738	-0.0592483	-0.36098	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	6.91291e-310	L
3.27558	0.46525	5.8776	-0.21487	-0.855636	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	3.13236	R
3.55821	0.396519	5.8776	-0.257652	-0.855636	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	6.91291e-310	L
3.9272	0.525775	5.72909	-0.113201	-0.394562	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	4.08084	R
4.20893	0.490201	5.72909	-0.132929	-0.394562	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	6.91291e-310	L
4.48742	0.565806	5.53947	-0.0672994	-0.22272	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	2.53244	R
4.76107	0.545195	5.53947	-0.0784354	-0.22272	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	6.91291e-310	L
5.02654	0.579539	5.36504	-0.0604298	-0.184463	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	3.09233	R
5.29178	0.561768	5.36504	-0.0696529	-0.184463	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	6.91291e-310	L
5.51288	0.614528	5.35823	-0.00955986	-0.0326497	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.5824	R
5.77855	0.611383	5.35823	-0.0111923	-0.0326497	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	6.91291e-310	L
6.00925	0.488692	5.28452	-0.105464	-0.211996	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	2.20359	R
6.26989	0.459431	5.28452	-0.116063	-0.211996	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	6.91291e-310	L
6.52607	0.609789	5.19558	-0.00748385	-0.0154991	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	2.57732	R
6.7842	0.607501	5.19558	-0.00825881	-0.0154991	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	6.91291e-310	L
7.04241	0.609018	5.08239	-0.0107923	-0.0195407	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	2.73725	R
7.29508	0.605981	5.08239	-0.0117693	-0.0195407	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	6.91291e-310	L
7.62912	0.678438	5.20927	0.0309488	0.0427029	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.47214	R
7.88814	0.686588	5.20927	0.0330839	0.0427029	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	6.91291e-310	L
8.14608	0.762922	5.10546	0.0696881	0.0862426	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.63935	R
8.39953	0.781059	5.10546	0.0740002	0.0862426	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	6.91291e-310	L
8.65132	1.02311	5.20365	0.18759	0.213658	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.16284	R
8.90562	1.07272	5.20365	0.198273	0.213658	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	6.91291e-310	L
9.23831	1.11158	5.26529	0.199294	0.202495	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	5.13545	R
9.49511	1.1648	5.26529	0.209419	0.202495	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	6.91291e-310	L
9.78545	1.30294	5.31319	0.252526	0.235904	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	2.00775	R
10.0414	1.37063	5.31319	0.264321	0.235904	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	6.91291e-310	L
10.2851	1.53469	5.22693	0.317556	0.279475	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	2.85655	R
10.5319	1.61782	5.22693	0.33153	0.279475	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	6.91291e-310	L
10.7534	1.72381	5.099	0.360162	0.298305	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	2.79914	R
10.9906	1.81525	5.099	0.375077	0.298305	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	6.91291e-310	L
11.2778	1.76765	5.12868	0.334094	0.246041	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	2.07211	R
11.5188	1.8531	5.12868	0.346396	0.246041	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	6.91291e-310	L
11.7332	1.84521	5.05313	0.328964	0.221497	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	2.06211	R
11.9711	1.92805	5.05313	0.340039	0.221497	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	6.91291e-310	L
12.2178	2.04686	5.13732	0.358665	0.225424	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.04927	R
12.457	2.13825	5.13732	0.369936	0.225424	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	6.91291e-310	L
12.7139	2.11919	5.17525	0.340879	0.188621	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	2.21696	R
12.9566	2.20674	5.17525	0.35031	0.188621	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	6.91291e-310	L
13.2145	2.38078	5.28998	0.38136	0.203322	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	1.81319	R
13.4587	2.48033	5.28998	0.391526	0.203322	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	6.91291e-310	L
13.5462	2.76015	5.12094	0.473758	0.270017	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	12.4126	R
13.7725	2.87831	5.12094	0.487259	0.270017	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	6.91291e-310	L
13.9821	2.94771	5.07504	0.488363	0.261568	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.735952	R
14.2046	3.06805	5.07504	0.501441	0.261568	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	6.91291e-310	L
14.4758	3.10363	5.14858	0.478916	0.226804	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.66491	R
14.7028	3.22339	5.14858	0.490256	0.226804	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	6.91291e-310	L
14.9016	3.48236	5.23321	0.538647	0.252717	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	2.20015	R
15.1246	3.61779	5.23321	0.551282	0.252717	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	6.91291e-310	L
15.3157	3.8487	5.20188	0.597187	0.283983	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	1.26006	R
15.5289	3.99624	5.20188	0.611387	0.283983	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	6.91291e-310	L
15.7583	3.99653	5.13196	0.585466	0.25447	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	2.08631	R
15.9704	4.13948	5.13196	0.59819	0.25447	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	6.91291e-310	L
16.1692	4.27831	5.04763	0.617934	0.267469	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.56455	R
16.3731	4.4257	5.04763	0.631307	0.267469	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	6.91291e-310	L
16.5996	4.5493	5.05635	0.634356	0.258721	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.289468	R
16.8013	4.70023	5.05635	0.647292	0.258721	16.6039	4.67344	16.613	4.5849	3.74	3.28438	6.91291e-310	L
16.9268	4.93118	4.91392	0.704254	0.308227	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.91512	R
17.112	5.09144	4.91392	0.719666	0.308227	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	6.91291e-310	L
17.3035	5.1461	4.82485	0.713049	0.297334	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.4759	R
17.4839	5.30502	4.82485	0.727916	0.297334	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	6.91291e-310	L
17.6622	5.3425	4.70483	0.720575	0.288563	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.38424	R
17.8369	5.49878	4.70483	0.735003	0.288563	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	6.91291e-310	L
17.9587	5.74835	4.66543	0.785956	0.323591	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.54933	R
18.1213	5.91445	4.66543	0.802135	0.323591	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	6.91291e-310	L
18.2432	6.21648	4.72518	0.853799	0.348469	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	1.31837	R
18.3959	6.39559	4.72518	0.871222	0.348469	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	6.91291e-310	L
18.5039	6.67075	4.74181	0.919655	0.374194	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.634641	R
18.6449	6.86031	4.74181	0.938365	0.374194	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	6.91291e-310	L
18.8	7.06682	4.7895	0.949538	0.36134	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.495099	R
18.9367	7.26245	4.7895	0.967605	0.36134	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	6.91291e-310	L
18.9775	7.49846	4.72044	1.02213	0.399934	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	3.5826	R
19.0976	7.70067	4.72044	1.04212	0.399934	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	6.91291e-310	L
19.2423	7.85518	4.71065	1.04396	0.384248	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.211071	R
19.3578	8.05954	4.71065	1.06317	0.384248	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	6.91291e-310	L
19.4379	8.25863	4.71151	1.08137	0.378598	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.28288	R
19.5458	8.46722	4.71151	1.1003	0.378598	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	6.91291e-310	L
19.6435	8.63897	4.65653	1.12147	0.388393	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.586541	R
19.7417	8.84928	4.65653	1.14089	0.388393	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	6.91291e-310	L
19.7755	9.14835	4.67599	1.19315	0.417203	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.80397	R
19.8586	9.36614	4.67599	1.21401	0.417203	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	6.91291e-310	L
19.8615	9.64767	4.66932	1.27105	0.45315	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.27798	R
19.9271	9.87104	4.66932	1.29371	0.45315	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	6.91291e-310	L
19.8994	10.3122	4.84283	1.34631	0.452158	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	6.09462	R
19.9499	10.5484	4.84283	1.36892	0.452158	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	6.91291e-310	L
19.9315	10.8179	4.83946	1.41813	0.479194	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.08967	R
19.9647	11.0569	4.83946	1.44209	0.479194	20.371	11.0109	20.1663	10.864	0.722256	4.7934	6.91291e-310	L
19.9343	11.4398	4.95781	1.47952	0.470715	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	3.03555	R
19.9534	11.6864	4.95781	1.50306	0.470715	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	6.91291e-310	L
19.7975	12.0439	4.99563	1.59762	0.542103	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	5.50676	R
